revision_id,revision_timestamp,p1,p2,p3,p4,,,,,
8996,11/7/01 20:27,A sentence,,,,,,,,
8946,9/11/03 20:17,A short sentence,,,,,,,,
8945,9/11/03 20:41,A short sentence.,,,,,,,,
8944,9/15/03 9:05,A nice sentence,,,,,,,,
8881,1/25/04 4:08,,Duration is important,A thing,,,,,,
8867,2/3/04 10:53,,Duration is the most important,,,,,,,
8866,2/3/04 11:04,,Duration isn’t that important,,,,,,,
8861,2/3/04 12:12,The sentence gets longer,What is duration,Another little thing,,,,,,
8853,2/27/04 4:48,,"Not important, that’s duraiton",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,